"Reporter","Partner","Group_Code","Description","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y"
"Myanmar","Cambodia","2","Vegetable",78144.00,"-84.81726865",-84.81,71.98,0.17,0.17,"DOG",-2,-1
"Myanmar","Cambodia","3","Food Products",1864134.23,"-5.577385358",-5.57,71.98,13.06,10.00,"COW",2,-1
"Myanmar","Cambodia","4","Minerals",238.00,"Infinity",100.00,71.98,0.05,0.05,"INTRO",-1,2
"Myanmar","Cambodia","6","Chemicals",44738.55,"Infinity",100.00,71.98,11.03,10.00,"STAR",1,1
"Myanmar","Cambodia","8","Hides and Skins",913.40,"Infinity",100.00,71.98,0.05,0.05,"INTRO",-1,2
"Myanmar","Cambodia","9","Wood",54600.00,"82.22231122",82.22,71.98,0.12,0.12,"INTRO",-1,1
"Myanmar","Lao PDR","15","Transportation",1750.00,"-87.47412512",-87.47,6.26,2.44,2.44,"COW",1,-1
"Myanmar","Lao PDR","9","Wood",81000.00,"15825.44532",100.00,6.26,4.97,4.97,"STAR",1,1
"Myanmar","Thailand","1","Animal",244088274.10,"26.04849795",26.04,47.87,1.84,1.84,"COW",1,-1
"Myanmar","Thailand","10","Textiles and Clothing",2024100.37,"219.2195208",100.00,47.87,0.03,0.03,"INTRO",-1,1
"Myanmar","Thailand","11","Footwear",1443541.75,"-71.04120893",-71.04,47.87,0.01,0.01,"DOG",-2,-1
"Myanmar","Thailand","12","Stone and Glass",126700466.80,"154.239478",100.00,47.87,0.69,0.69,"INTRO",-1,1
"Myanmar","Thailand","13","Metals",79282675.32,"181.8203814",100.00,47.87,1.36,1.36,"STAR",1,1
"Myanmar","Thailand","14","Machinery/Electrical",983622.47,"289.1610404",100.00,47.87,9.90785411134727e-03,9.90785411134727e-03,"INTRO",-1,1
"Myanmar","Thailand","15","Transportation",29088152.93,"0.516780042",0.51,47.87,1.25,1.25,"COW",1,-1
"Myanmar","Thailand","2","Vegetable",67105669.97,"-6.632740759",-6.63,47.87,0.12,0.12,"DOG",-1,-1
"Myanmar","Thailand","3","Food Products",25150377.40,"2672.03673",100.00,47.87,0.14,0.14,"INTRO",-1,1
"Myanmar","Thailand","4","Minerals",3312660.59,"154.3075004",100.00,47.87,0.61,0.61,"INTRO",-1,1
"Myanmar","Thailand","5","Fuels",2035940372.00,"12.07112986",12.07,47.87,2.86,2.86,"COW",1,-1
"Myanmar","Thailand","6","Chemicals",1497939.09,"161.0675014",100.00,47.87,0.30,0.30,"INTRO",-1,1
"Myanmar","Thailand","7","Plastic or Rubber",9932624.03,"7.722188811",7.72,47.87,0.18,0.18,"DOG",-1,-1
"Myanmar","Thailand","8","Hides and Skins",1701074.76,"12.59229432",12.59,47.87,0.09,0.09,"DOG",-1,-1
"Myanmar","Thailand","9","Wood",45208647.04,"36.85237532",36.85,47.87,0.08,0.08,"DOG",-1,-1
"Myanmar","Viet Nam","1","Animal",4481715.89,"-34.15257401",-34.15,21.69,0.72,0.72,"DOG",-1,-1
"Myanmar","Viet Nam","10","Textiles and Clothing",41028.19,"18.99879401",18.99,21.69,0.01,0.01,"DOG",-1,-1
"Myanmar","Viet Nam","11","Footwear",2412.00,"-76.95614789",-76.95,21.69,6.82096411747201e-04,6.82096411747201e-04,"DOG",-1,-1
"Myanmar","Viet Nam","12","Stone and Glass",29812513.25,"111.249215",100.00,21.69,3.52,3.52,"STAR",1,1
"Myanmar","Viet Nam","13","Metals",1433570.95,"142.8359405",100.00,21.69,0.53,0.53,"INTRO",-1,1
"Myanmar","Viet Nam","14","Machinery/Electrical",32500000.00,"42468.79773",100.00,21.69,7.05,7.05,"STAR",1,1
"Myanmar","Viet Nam","15","Transportation",2523602.82,"-8.102801053",-8.10,21.69,2.34,2.34,"COW",1,-1
"Myanmar","Viet Nam","2","Vegetable",40674762.15,"0.412185111",0.41,21.69,1.57,1.57,"COW",1,-1
"Myanmar","Viet Nam","3","Food Products",7538802.95,"76.52878415",76.52,21.69,0.93,0.93,"INTRO",-1,1
"Myanmar","Viet Nam","4","Minerals",224317.64,"1128.469331",100.00,21.69,0.89,0.89,"INTRO",-1,1
"Myanmar","Viet Nam","6","Chemicals",385219.30,"-57.17757295",-57.17,21.69,1.68,1.68,"COW",1,-1
"Myanmar","Viet Nam","7","Plastic or Rubber",2451838.48,"372.4896059",100.00,21.69,0.97,0.97,"INTRO",-1,1
"Myanmar","Viet Nam","8","Hides and Skins",878417.35,"-61.44799836",-61.44,21.69,1.02,1.02,"COW",1,-1
"Myanmar","Viet Nam","9","Wood",1188558.16,"-54.4148816",-54.41,21.69,0.04,0.04,"DOG",-1,-1
"Thailand","Cambodia","1","Animal",72926295.43,"-27.44558641",-27.44,9.81,0.95,0.95,"DOG",-1,-1
"Thailand","Cambodia","10","Textiles and Clothing",31198104.13,"1.318546946",1.31,9.81,1.09,1.09,"COW",2,-1
"Thailand","Cambodia","11","Footwear",936505293.30,"26.35740299",26.35,9.81,2.82,2.82,"STAR",1,1
"Thailand","Cambodia","12","Stone and Glass",142472456.10,"19.76062463",19.76,9.81,0.58,0.58,"INTRO",-1,1
"Thailand","Cambodia","13","Metals",658091491.10,"3.972793027",3.97,9.81,0.39,0.39,"DOG",-1,-1
"Thailand","Cambodia","14","Machinery/Electrical",441954682.30,"14.14133585",14.14,9.81,0.62,0.62,"INTRO",-1,2
"Thailand","Cambodia","15","Transportation",61192450.05,"17.56077546",17.56,9.81,0.30,0.30,"INTRO",-1,1
"Thailand","Cambodia","2","Vegetable",34464361.35,"12.00153276",12.00,9.81,0.13,0.13,"INTRO",-1,1
"Thailand","Cambodia","3","Food Products",916333029.00,"5.889789201",5.88,9.81,2.23,2.23,"COW",1,-1
"Thailand","Cambodia","4","Minerals",163609209.50,"0.309845139",0.30,9.81,7.70,7.70,"COW",1,-1
"Thailand","Cambodia","5","Fuels",953846886.20,"23.39599684",23.39,9.81,5.17,5.17,"STAR",1,1
"Thailand","Cambodia","6","Chemicals",323403574.20,"15.68980234",15.68,9.81,1.31,1.31,"STAR",2,1
"Thailand","Cambodia","7","Plastic or Rubber",299177465.30,"10.76214437",10.76,9.81,0.46,0.46,"INTRO",-1,1
"Thailand","Cambodia","8","Hides and Skins",23715104.75,"13.99360834",13.99,9.81,0.91,0.91,"INTRO",-1,2
"Thailand","Cambodia","9","Wood",211092690.00,"9.486899571",9.48,9.81,0.87,0.87,"DOG",-1,-1
"Thailand","Lao PDR","1","Animal",256995248.50,"-16.62730965",-16.62,1.33,4.48,4.48,"COW",1,-1
"Thailand","Lao PDR","10","Textiles and Clothing",19050590.34,"7.122781124",7.12,1.33,0.88,0.88,"INTRO",-1,1
"Thailand","Lao PDR","11","Footwear",138381330.70,"-21.61524201",-21.61,1.33,0.55,0.55,"DOG",-1,-1
"Thailand","Lao PDR","12","Stone and Glass",238404991.00,"-38.17043615",-38.17,1.33,1.30,1.30,"COW",1,-1
"Thailand","Lao PDR","13","Metals",658305863.40,"3.930183083",3.93,1.33,0.52,0.52,"INTRO",-1,1
"Thailand","Lao PDR","14","Machinery/Electrical",552159001.40,"-7.754130464",-7.75,1.33,1.04,1.04,"COW",1,-1
"Thailand","Lao PDR","15","Transportation",84520962.43,"17.89214168",17.89,1.33,0.56,0.56,"INTRO",-1,1
"Thailand","Lao PDR","2","Vegetable",75891974.76,"-35.64410452",-35.64,1.33,0.39,0.39,"DOG",-1,-1
"Thailand","Lao PDR","3","Food Products",480446851.30,"13.17880387",13.17,1.33,1.56,1.56,"STAR",1,1
"Thailand","Lao PDR","4","Minerals",69245366.45,"-15.85022346",-15.85,1.33,4.34,4.34,"COW",1,-1
"Thailand","Lao PDR","5","Fuels",709802608.30,"12.74604154",12.74,1.33,5.13,5.13,"STAR",1,1
"Thailand","Lao PDR","6","Chemicals",334230464.50,"14.04611931",14.04,1.33,1.81,1.81,"STAR",1,1
"Thailand","Lao PDR","7","Plastic or Rubber",220166477.20,"30.2323055",30.23,1.33,0.45,0.45,"INTRO",-1,1
"Thailand","Lao PDR","8","Hides and Skins",2093365.75,"25.20315342",25.20,1.33,0.10,0.10,"INTRO",-1,1
"Thailand","Lao PDR","9","Wood",110678396.80,"31.34741546",31.34,1.33,0.60,0.60,"INTRO",-1,1
"Thailand","Myanmar","1","Animal",49369497.53,"40.06074555",40.06,5.77,0.78,0.78,"INTRO",-1,1
"Thailand","Myanmar","10","Textiles and Clothing",108158066.30,"-8.36834702",-8.36,5.77,4.63,4.63,"COW",1,-1
"Thailand","Myanmar","11","Footwear",114545562.30,"4.505385887",4.50,5.77,0.42,0.42,"DOG",-1,-1
"Thailand","Myanmar","12","Stone and Glass",313181469.30,"31.94294889",31.94,5.77,1.57,1.57,"STAR",1,1
"Thailand","Myanmar","13","Metals",656510773.60,"-7.98070465",-7.98,5.77,0.48,0.48,"DOG",-1,-1
"Thailand","Myanmar","14","Machinery/Electrical",297605525.90,"14.56228637",14.56,5.77,0.51,0.51,"INTRO",-1,1
"Thailand","Myanmar","15","Transportation",114611234.30,"21.50125436",21.50,5.77,0.70,0.70,"INTRO",-1,1
"Thailand","Myanmar","2","Vegetable",136906874.40,"6.612136515",6.61,5.77,0.66,0.66,"INTRO",-1,1
"Thailand","Myanmar","3","Food Products",1022772645.00,"-4.921149721",-4.92,5.77,3.05,3.05,"COW",1,-1
"Thailand","Myanmar","4","Minerals",84029566.30,"-51.81926247",-51.81,5.77,4.83,4.83,"COW",1,-1
"Thailand","Myanmar","5","Fuels",414004312.10,"39.02731521",39.02,5.77,2.74,2.74,"STAR",1,1
"Thailand","Myanmar","6","Chemicals",447070420.60,"11.33565639",11.33,5.77,2.23,2.23,"STAR",1,1
"Thailand","Myanmar","7","Plastic or Rubber",276809790.80,"7.122954165",7.12,5.77,0.52,0.52,"INTRO",-1,1
"Thailand","Myanmar","8","Hides and Skins",4799904.32,"-17.84876163",-17.84,5.77,0.22,0.22,"DOG",-1,-1
"Thailand","Myanmar","9","Wood",268412095.60,"0.887444582",0.88,5.77,1.35,1.35,"COW",1,-1
"Thailand","Viet Nam","1","Animal",224011277.70,"6.03541557",6.03,20.20,1.32,1.32,"COW",1,-1
"Thailand","Viet Nam","10","Textiles and Clothing",49994112.93,"-2.330074981",-2.33,20.20,0.79,0.79,"DOG",-1,-1
"Thailand","Viet Nam","11","Footwear",141823628.30,"3.133140225",3.13,20.20,0.19,0.19,"DOG",-1,-1
"Thailand","Viet Nam","12","Stone and Glass",732154197.40,"24.40588056",24.40,20.20,1.36,1.36,"STAR",1,1
"Thailand","Viet Nam","13","Metals",2969989426.00,"22.72117358",22.72,20.20,0.80,0.80,"INTRO",-1,1
"Thailand","Viet Nam","14","Machinery/Electrical",998369095.70,"-5.016675916",-5.01,20.20,0.63,0.63,"DOG",-1,-1
"Thailand","Viet Nam","15","Transportation",153989054.70,"-2.601957563",-2.60,20.20,0.34,0.34,"DOG",-1,-1
"Thailand","Viet Nam","2","Vegetable",1160137337.00,"99.95929477",99.95,20.20,2.07,2.07,"STAR",1,1
"Thailand","Viet Nam","3","Food Products",825015530.10,"1.458969568",1.45,20.20,0.91,0.91,"DOG",-1,-1
"Thailand","Viet Nam","4","Minerals",64325101.79,"-6.765963481",-6.76,20.20,1.36,1.36,"COW",1,-1
"Thailand","Viet Nam","5","Fuels",1114485905.00,"56.48878173",56.48,20.20,2.73,2.73,"STAR",1,1
"Thailand","Viet Nam","6","Chemicals",889927723.60,"26.1874084",26.18,20.20,1.64,1.64,"STAR",1,1
"Thailand","Viet Nam","7","Plastic or Rubber",1319126275.00,"23.71646015",23.71,20.20,0.92,0.92,"INTRO",-1,1
"Thailand","Viet Nam","8","Hides and Skins",229406715.20,"43.62512397",43.62,20.20,4.00,4.00,"STAR",1,1
"Thailand","Viet Nam","9","Wood",789174424.60,"12.02248955",12.02,20.20,1.47,1.47,"COW",1,-1
"Viet Nam","Cambodia","1","Animal",6706116.59,"64.81692759",64.81,22.79,0.08,0.08,"INTRO",-1,1
"Viet Nam","Cambodia","10","Textiles and Clothing",101547128.20,"23.64317076",23.64,22.79,0.42,0.42,"INTRO",-1,2
"Viet Nam","Cambodia","11","Footwear",25999522.36,"-21.77717419",-21.77,22.79,0.78,0.78,"DOG",-1,-1
"Viet Nam","Cambodia","12","Stone and Glass",676094244.30,"57.00626345",57.00,22.79,6.28,6.28,"STAR",1,1
"Viet Nam","Cambodia","13","Metals",153037744.60,"33.19084882",33.19,22.79,0.13,0.13,"INTRO",-1,1
"Viet Nam","Cambodia","14","Machinery/Electrical",52600023.58,"9.616594482",9.61,22.79,1.18,1.18,"COW",1,-1
"Viet Nam","Cambodia","15","Transportation",81366492.39,"7.822415661",7.82,22.79,0.34,0.34,"DOG",-1,-1
"Viet Nam","Cambodia","2","Vegetable",88532797.00,"14.80518597",14.80,22.79,0.47,0.47,"DOG",-1,-1
"Viet Nam","Cambodia","3","Food Products",168766471.80,"-6.219801357",-6.21,22.79,2.53,2.53,"COW",1,-1
"Viet Nam","Cambodia","4","Minerals",17115357.92,"-24.81365194",-24.81,22.79,1.20,1.20,"COW",2,-1
"Viet Nam","Cambodia","5","Fuels",505213686.50,"15.80725909",15.80,22.79,9.43,9.43,"COW",1,-1
"Viet Nam","Cambodia","6","Chemicals",260487745.50,"28.32891669",28.32,22.79,6.62,6.62,"STAR",2,1
"Viet Nam","Cambodia","7","Plastic or Rubber",144350839.80,"12.40985586",12.40,22.79,1.57,1.57,"COW",2,-1
"Viet Nam","Cambodia","8","Hides and Skins",31592596.58,"94.22918319",94.22,22.79,0.66,0.66,"INTRO",-1,1
"Viet Nam","Cambodia","9","Wood",465683305.20,"33.10978323",33.10,22.79,1.10,1.10,"STAR",1,1
"Viet Nam","Lao PDR","1","Animal",5941367.85,"-14.84428158",-14.84,3.10,0.38,0.38,"DOG",-1,-1
"Viet Nam","Lao PDR","10","Textiles and Clothing",6752639.44,"-22.55251092",-22.55,3.10,0.15,0.15,"DOG",-1,-1
"Viet Nam","Lao PDR","11","Footwear",9747551.70,"14.44168614",14.44,3.10,1.55,1.55,"STAR",1,1
"Viet Nam","Lao PDR","12","Stone and Glass",134567564.00,"8.626647098",8.62,3.10,6.63,6.63,"STAR",1,1
"Viet Nam","Lao PDR","13","Metals",40729652.08,"2.977051199",2.97,3.10,0.19,0.19,"DOG",-1,-1
"Viet Nam","Lao PDR","14","Machinery/Electrical",47666287.49,"4.59106105",4.59,3.10,5.70,5.70,"STAR",1,1
"Viet Nam","Lao PDR","15","Transportation",15891375.87,"-26.08680111",-26.08,3.10,0.36,0.36,"DOG",-1,-1
"Viet Nam","Lao PDR","2","Vegetable",24815015.70,"44.22169468",44.22,3.10,0.70,0.70,"INTRO",-1,1
"Viet Nam","Lao PDR","3","Food Products",47917275.66,"-1.40496832",-1.40,3.10,3.81,3.81,"COW",1,-1
"Viet Nam","Lao PDR","4","Minerals",11131689.60,"-29.29402084",-29.29,3.10,4.14,4.14,"COW",1,-1
"Viet Nam","Lao PDR","5","Fuels",99101665.67,"44.66826508",44.66,3.10,9.82,9.82,"STAR",1,1
"Viet Nam","Lao PDR","6","Chemicals",37175862.78,"17.7913337",17.79,3.10,5.02,5.02,"STAR",1,1
"Viet Nam","Lao PDR","7","Plastic or Rubber",23835356.41,"12.97552316",12.97,3.10,1.37,1.37,"STAR",1,1
"Viet Nam","Lao PDR","8","Hides and Skins",460046.98,"3.002629769",3.00,3.10,0.05,0.05,"DOG",-1,-1
"Viet Nam","Lao PDR","9","Wood",17889444.12,"-12.57660648",-12.57,3.10,0.22,0.22,"DOG",-1,-1
"Viet Nam","Myanmar","1","Animal",733990.55,"44.47237351",44.47,18.11,0.03,0.03,"INTRO",-1,1
"Viet Nam","Myanmar","10","Textiles and Clothing",25407005.27,"53.23079957",53.23,18.11,0.42,0.42,"INTRO",-1,1
"Viet Nam","Myanmar","11","Footwear",10066805.16,"-7.263239701",-7.26,18.11,1.19,1.19,"COW",1,-1
"Viet Nam","Myanmar","12","Stone and Glass",129076831.70,"62.99512931",62.99,18.11,4.74,4.74,"STAR",1,1
"Viet Nam","Myanmar","13","Metals",217179264.20,"200.3857667",100.00,18.11,0.76,0.76,"INTRO",-1,1
"Viet Nam","Myanmar","14","Machinery/Electrical",66376738.83,"45.1157807",45.11,18.11,5.91,5.91,"STAR",1,1
"Viet Nam","Myanmar","15","Transportation",46205467.85,"10.53263397",10.53,18.11,0.78,0.78,"DOG",-1,-1
"Viet Nam","Myanmar","2","Vegetable",7928106.05,"79.65871442",79.65,18.11,0.16,0.16,"INTRO",-1,1
