"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","GrowthRCA_ImportHS2_Group_Code","GrowthRCA_ImportHS2_Description","ProductGroup_Group_Code","ProductGroup_Description"
"Cambodia","Thailand","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1817167.59,"-70.3326519060129",-70.33,-63.10,1.71,1.71,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","29","Organic chemicals",3120549.71,"-71.8399015045202",-71.83,-63.10,2.00,2.00,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","30","Pharmaceutical products",3589810.29,"-81.5029871214415",-81.50,-63.10,0.49,0.49,"DOG",-1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","31","Fertilizers",6880803.43,"-57.4352608551934",-57.43,-63.10,1.32,1.32,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","32","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",2621116.04,"-65.928838831893",-65.92,-63.10,1.19,1.19,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations",8009943.64,"-74.1637201437426",-74.16,-63.10,4.47,4.47,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","34","Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",6096258.46,"-70.9298605131024",-70.92,-63.10,2.47,2.47,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","35","Albuminoidal substances; modified starches; glues; enzymes",416552.62,"-52.8269935121471",-52.82,-63.10,0.29,0.29,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","36","Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",3834.20,"-74.6233578681026",-74.62,-63.10,0.09,0.09,"DOG",-1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","38","Chemical products n.e.c.",2349789.77,"-67.124198760259",-67.12,-63.10,0.71,0.71,"DOG",-1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Thailand","39","Plastics and articles thereof",23317997.15,"-72.2143991484201",-72.21,-63.10,1.19,1.19,"COW",1,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Cambodia","Thailand","40","Rubber and articles thereof",4034811.96,"-69.8321944943251",-69.83,-63.10,0.62,0.62,"DOG",-1,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Cambodia","Thailand","41","Raw hides and skins (other than furskins) and leather",3077446.20,"-78.7064666182316",-78.70,-63.10,0.53,0.53,"DOG",-1,-1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Cambodia","Thailand","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",81129.86,"-81.8250536187606",-81.82,-63.10,0.11,0.11,"DOG",-1,-1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Cambodia","Thailand","43","Furskins and artificial fur; manufactures thereof",6210.89,"Infinity",100.00,-63.10,5.60883180790883e-04,5.60883180790883e-04,"INTRO",-1,1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Cambodia","Thailand","44","Wood and articles of wood; wood charcoal",1157314.37,"-50.0809023977126",-50.08,-63.10,0.24,0.24,"INTRO",-1,1,"9","Textiles",9.00,"Wood"
"Cambodia","Thailand","46","Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",841.93,"-99.2806144507693",-99.28,-63.10,0.12,0.12,"DOG",-1,-1,"9","Textiles",9.00,"Wood"
"Cambodia","Thailand","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",12593467.57,"-76.7045481834274",-76.70,-63.10,1.07,1.07,"COW",1,-1,"9","Textiles",9.00,"Wood"
"Cambodia","Thailand","49","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",989124.99,"-68.0516924961071",-68.05,-63.10,0.66,0.66,"DOG",-1,-1,"9","Textiles",9.00,"Wood"
"Cambodia","Thailand","50","Silk",108520.15,"-78.5347095363713",-78.53,-63.10,1.18,1.18,"COW",1,-1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Cambodia","Thailand","51","Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1919580.81,"-69.8158272336157",-69.81,-63.10,2.81,2.81,"COW",1,-1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Cambodia","Thailand","52","Cotton",603608.70,"-85.124297566936",-85.12,-63.10,0.03,0.03,"DOG",-1,-1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Cambodia","Thailand","53","Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",6918.39,"13.0825433148088",13.08,-63.10,0.95,0.95,"INTRO",-1,1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Cambodia","Thailand","54","Man-made filaments; strip and the like of man-made textile materials",1870578.19,"-65.6035402265651",-65.60,-63.10,0.48,0.48,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
